Accession	Organism	Kingdom	Length	Transmembrane	Type	Fold
O81787	Arabidopsis thaliana	Viridiplantae	527	False	-	1
Q7L3V2	Homo sapiens	Metazoa	364	False	-	2
P30279	Homo sapiens	Metazoa	289	False	-	3
Q0JJ05	Oryza sativa subsp. japonica	Viridiplantae	987	False	-	4
Q9LYG9	Arabidopsis thaliana	Viridiplantae	734	False	-	0
Q5U623	Homo sapiens	Metazoa	682	False	-	1
Q8L7W1	Arabidopsis thaliana	Viridiplantae	678	False	-	2
Q9XIB5	Arabidopsis thaliana	Viridiplantae	226	False	-	3
Q5SUE7	Mus musculus	Metazoa	619	False	-	4
Q04049	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	632	False	-	0
Q12208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	290	False	-	1
Q7SA90	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	453	False	-	2
Q8C854	Mus musculus	Metazoa	591	False	-	3
Q03898	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	291	False	-	4
Q95QK3	Caenorhabditis elegans	Metazoa	1061	False	-	0
Q96B77	Homo sapiens	Metazoa	213	True	-	1
A2RTF1	Mus musculus	Metazoa	1109	False	-	2
P54857	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	326	False	-	3
O82796	Arabidopsis thaliana	Viridiplantae	295	False	-	4
Q3U9N9	Mus musculus	Metazoa	512	True	-	0
P38828	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	187	False	-	1
Q9QXY4	Rattus norvegicus	Metazoa	580	False	-	2
Q7TPD6	Mus musculus	Metazoa	673	False	-	3
Q9LRB7	Oryza sativa subsp. japonica	Viridiplantae	325	True	-	4
Q9H1J1	Homo sapiens	Metazoa	476	False	-	0
Q6IDB6	Arabidopsis thaliana	Viridiplantae	182	False	-	1
P35177	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1332	False	-	2
Q9M4B5	Arabidopsis thaliana	Viridiplantae	129	False	-	3
Q03482	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	75	True	-	4
Q01663	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	552	False	-	0
A0A2H1VE33	Spodoptera frugiperda	Metazoa	332	False	-	1
O14362	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	504	False	-	2
O13985	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	512	False	-	3
P39019	Homo sapiens	Metazoa	145	False	-	4
O94667	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	560	False	-	0
P16580	Gallus gallus	Metazoa	373	False	-	1
P50106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	137	False	-	2
O14015	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	150	False	-	3
Q9P2D8	Homo sapiens	Metazoa	2635	False	-	4
C0HM83	Homo sapiens	Metazoa	58	False	-	0
O96759	Dictyostelium discoideum	Other	611	False	-	1
Q06672	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	205	False	-	2
Q9H299	Homo sapiens	Metazoa	93	False	-	3
O75387	Homo sapiens	Metazoa	559	True	-	4
P22068	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	525	False	-	0
P53867	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	494	False	-	1
Q8N371	Homo sapiens	Metazoa	416	False	-	2
Q8N6F7	Homo sapiens	Metazoa	178	False	-	3
Q7Z6K1	Homo sapiens	Metazoa	395	False	-	4
Q9SKZ1	Arabidopsis thaliana	Viridiplantae	296	False	-	0
A0A1D9BZF0	Mus musculus	Metazoa	507	False	-	1
Q9BT92	Homo sapiens	Metazoa	498	False	-	2
Q91VJ2	Mus musculus	Metazoa	260	False	-	3
Q9NZZ3	Homo sapiens	Metazoa	219	False	-	4
P38210	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	180	False	-	0
Q9LE82	Arabidopsis thaliana	Viridiplantae	535	False	-	1
B2RWS6	Mus musculus	Metazoa	2412	False	-	2
O75592	Homo sapiens	Metazoa	4678	False	-	3
Q9H0U6	Homo sapiens	Metazoa	180	False	-	4
Q03671	Candida parapsilosis	Fungi	246	True	-	0
Q9FLY0	Arabidopsis thaliana	Viridiplantae	325	False	-	1
Q7S4Y4	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	90	False	-	2
Q7Z602	Homo sapiens	Metazoa	305	True	-	3
A0A2P1GIW3	Catharanthus roseus	Viridiplantae	320	False	-	4
Q96QF7	Homo sapiens	Metazoa	691	False	-	0
O35613	Mus musculus	Metazoa	739	False	-	1
Q84SC3	Oryza sativa subsp. japonica	Viridiplantae	91	False	-	2
Q94545	Drosophila melanogaster	Metazoa	556	False	-	3
P0CG48	Homo sapiens	Metazoa	685	False	-	4
B8B0E2	Oryza sativa subsp. indica	Viridiplantae	1246	False	-	0
Q90257	Danio rerio	Metazoa	270	False	-	1
Q9FEC4	Chlamydomonas reinhardtii	Viridiplantae	1783	False	-	2
Q91836	Xenopus laevis	Metazoa	298	False	-	3
G5EC23	Caenorhabditis elegans	Metazoa	782	False	-	4
Q05860	Mus musculus	Metazoa	1466	False	-	0
Q80UP5	Mus musculus	Metazoa	588	False	-	1
Q9XIE2	Arabidopsis thaliana	Viridiplantae	1469	False	-	2
P08703	Penicillium chrysogenum	Fungi	331	False	-	3
B2AFA8	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	Fungi	775	False	-	4
P40460	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	691	False	-	0
Q9WUB9	Mesocricetus auratus	Metazoa	483	True	-	1
Q9Y6W3	Homo sapiens	Metazoa	813	False	-	2
P92792	Solanum tuberosum	Viridiplantae	204	False	-	3
P07663	Drosophila melanogaster	Metazoa	1224	False	-	4
P28328	Homo sapiens	Metazoa	305	True	-	0
P38781	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	883	False	-	1
Q6UXN9	Homo sapiens	Metazoa	313	False	-	2
F4KHG6	Arabidopsis thaliana	Viridiplantae	489	False	-	3
Q7Z6M4	Homo sapiens	Metazoa	381	False	-	4
Q7Z7H8	Homo sapiens	Metazoa	261	False	-	0
P43449	Gallus gallus	Metazoa	395	False	-	1
Q9VMA3	Drosophila melanogaster	Metazoa	1117	False	-	2
O95721	Homo sapiens	Metazoa	258	False	-	3
Q9M3K7	Spinacia oleracea	Viridiplantae	101	False	-	4
Q9JJD0	Mus musculus	Metazoa	305	False	-	0
Q02770	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	301	False	-	1
Q15233	Homo sapiens	Metazoa	471	False	-	2
Q8C8N2	Mus musculus	Metazoa	606	False	-	3
Q04178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	221	False	-	4
Q9BY07	Homo sapiens	Metazoa	1137	False	-	0
O59734	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	78	False	-	1
P28007	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	205	False	-	2
P38769	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	630	False	-	3
F4K3G5	Arabidopsis thaliana	Viridiplantae	1297	False	-	4
O94603	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	948	False	-	0
Q8LLD0	Arabidopsis thaliana	Viridiplantae	1046	False	-	1
Q9VW15	Drosophila melanogaster	Metazoa	2226	False	-	2
Q9WVJ4	Rattus norvegicus	Metazoa	145	False	-	3
Q9D385	Mus musculus	Metazoa	163	False	-	4
O94740	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	466	False	-	0
O75122	Homo sapiens	Metazoa	1294	False	-	1
Q9W3E2	Drosophila melanogaster	Metazoa	1195	False	-	2
Q9Y5Z4	Homo sapiens	Metazoa	205	False	-	3
E3SCZ8	Cavia porcellus	Metazoa	142	False	-	4
Q96BY6	Homo sapiens	Metazoa	2186	False	-	0
P24813	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	409	False	-	1
Q9NR21	Homo sapiens	Metazoa	338	False	-	2
Q9UM63	Homo sapiens	Metazoa	463	False	-	3
P39682	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	629	False	-	4
F4JXF1	Arabidopsis thaliana	Viridiplantae	581	False	-	0
O08774	Rattus norvegicus	Metazoa	1387	False	-	1
P39988	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	312	False	-	2
Q8BMA5	Mus musculus	Metazoa	1420	False	-	3
Q9DEX1	Xenopus laevis	Metazoa	560	False	-	4
Q16385	Homo sapiens	Metazoa	188	False	-	0
Q96CU9	Homo sapiens	Metazoa	486	True	-	1
Q9ERS2	Mus musculus	Metazoa	144	True	-	2
J9VE33	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	1094	False	-	3
Q9UTH9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	617	False	-	4
Q20646	Caenorhabditis elegans	Metazoa	644	False	-	0
O94851	Homo sapiens	Metazoa	1957	False	-	1
Q8GWA7	Arabidopsis thaliana	Viridiplantae	349	False	-	2
Q02455	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1875	False	-	3
Q07395	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	620	False	-	4
P36161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1157	False	-	0
P52890	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	566	False	-	1
P14908	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	341	False	-	2
Q3T0J3	Bos taurus	Metazoa	251	False	-	3
O14827	Homo sapiens	Metazoa	1237	False	-	4
Q6SJ95	Mus musculus	Metazoa	350	False	-	0
Q9ASV5	Arabidopsis thaliana	Viridiplantae	650	True	-	1
Q6UB98	Homo sapiens	Metazoa	2062	False	-	2
Q9ULU4	Homo sapiens	Metazoa	1186	False	-	3
P38292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	413	True	-	4
P87297	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	90	False	-	0
P53930	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	226	False	-	1
Q86W42	Homo sapiens	Metazoa	341	False	-	2
Q12182	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	319	False	-	3
Q9BQL6	Homo sapiens	Metazoa	677	False	-	4
Q9FVE6	Arabidopsis thaliana	Viridiplantae	245	False	-	0
O74331	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	363	False	-	1
Q10990	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	490	False	-	2
Q04847	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	553	False	-	3
P07390	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	489	False	-	4
Q94KE2	Arabidopsis thaliana	Viridiplantae	1550	False	-	0
O20029	Chlamydomonas reinhardtii	Viridiplantae	191	False	-	1
Q02721	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	264	False	-	2
P82194	Spinacia oleracea	Viridiplantae	126	False	-	3
A1ZAW0	Drosophila melanogaster	Metazoa	1722	False	-	4
A0A509AFM3	Plasmodium berghei (strain Anka)	Other	304	True	-	0
O94782	Homo sapiens	Metazoa	785	False	-	1
Q9H840	Homo sapiens	Metazoa	131	False	-	2
P48634	Homo sapiens	Metazoa	2157	False	-	3
P32833	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	620	False	-	4
Q501D2	Arabidopsis thaliana	Viridiplantae	572	False	-	0
E9Q5F9	Mus musculus	Metazoa	2537	False	-	1
P05982	Rattus norvegicus	Metazoa	274	False	-	2
P63212	Bos taurus	Metazoa	71	False	-	3
Q8TF63	Homo sapiens	Metazoa	244	False	-	4
E9PT37	Rattus norvegicus	Metazoa	1207	False	-	0
O22802	Arabidopsis thaliana	Viridiplantae	97	True	-	1
Q791V5	Mus musculus	Metazoa	303	True	-	2
O81242	Arabidopsis thaliana	Viridiplantae	355	False	-	3
Q01842	Drosophila melanogaster	Metazoa	732	False	-	4
Q9LK57	Arabidopsis thaliana	Viridiplantae	394	False	-	0
P25042	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	368	False	-	1
Q9DC04	Mus musculus	Metazoa	966	False	-	2
Q86LG1	Drosophila melanogaster	Metazoa	606	True	-	3
G5EFY7	Caenorhabditis elegans	Metazoa	295	False	-	4
Q9XH37	Oryza sativa subsp. indica	Viridiplantae	277	False	-	0
O13919	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1075	False	-	1
O43924	Homo sapiens	Metazoa	150	False	-	2
Q8NFT6	Homo sapiens	Metazoa	615	False	-	3
Q23064	Caenorhabditis elegans	Metazoa	1041	False	-	4
Q9C7G6	Arabidopsis thaliana	Viridiplantae	256	False	-	0
Q8NI35	Homo sapiens	Metazoa	1801	False	-	1
P93830	Arabidopsis thaliana	Viridiplantae	229	False	-	2
Q6K271	Oryza sativa subsp. japonica	Viridiplantae	738	False	-	3
Q925D4	Rattus norvegicus	Metazoa	263	True	-	4
Q7KTX8	Drosophila melanogaster	Metazoa	2618	False	-	0
Q801E2	Xenopus laevis	Metazoa	1116	False	-	1
Q7SIB8	Dryopteris crassirhizoma	Viridiplantae	102	False	-	2
Q7JWP6	Drosophila melanogaster	Metazoa	221	False	-	3
Q9WV78	Rattus norvegicus	Metazoa	438	True	-	4
P43266	Euglena gracilis	Other	100	True	-	0
Q06152	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274	False	-	1
Q9JI99	Mus musculus	Metazoa	430	False	-	2
Q7TSS2	Mus musculus	Metazoa	422	False	-	3
Q12952	Homo sapiens	Metazoa	345	False	-	4
G5EG86	Caenorhabditis elegans	Metazoa	394	False	-	0
O82204	Arabidopsis thaliana	Viridiplantae	143	False	-	1
Q60676	Mus musculus	Metazoa	499	False	-	2
P0C2B6	Bos taurus	Metazoa	128	False	-	3
Q04052	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	950	False	-	4
Q9DAA6	Mus musculus	Metazoa	195	False	-	0
Q9ZWS6	Arabidopsis thaliana	Viridiplantae	186	False	-	1
Q8N5G0	Homo sapiens	Metazoa	67	True	-	2
P40757	Aquarana catesbeiana	Metazoa	484	False	-	3
Q86UK7	Homo sapiens	Metazoa	904	False	-	4
Q9NY74	Homo sapiens	Metazoa	926	False	-	0
O74365	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	865	False	-	1
Q86V15	Homo sapiens	Metazoa	1759	False	-	2
P27815	Homo sapiens	Metazoa	886	False	-	3
P53051	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	589	False	-	4
Q9HAB3	Homo sapiens	Metazoa	445	True	-	0
P62952	Homo sapiens	Metazoa	87	True	-	1
Q9FN48	Arabidopsis thaliana	Viridiplantae	387	False	-	2
P40079	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	357	False	-	3
Q9FXH5	Arabidopsis thaliana	Viridiplantae	393	True	-	4
O13709	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244	False	-	0
B2D6P4	Caenorhabditis elegans	Metazoa	508	False	-	1
A0A075TRA9	Penicillium expansum	Fungi	546	True	-	2
Q9DB00	Mus musculus	Metazoa	2260	False	-	3
P00428	Bos taurus	Metazoa	129	False	-	4
P33339	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1025	False	-	0
P15387	Rattus norvegicus	Metazoa	857	False	-	1
P62942	Homo sapiens	Metazoa	108	False	-	2
P57081	Homo sapiens	Metazoa	412	False	-	3
Q8GWR1	Arabidopsis thaliana	Viridiplantae	447	False	-	4
Q9NWT1	Homo sapiens	Metazoa	392	False	-	0
P70372	Mus musculus	Metazoa	326	False	-	1
Q9JKF1	Mus musculus	Metazoa	1657	False	-	2
Q6ZJM9	Oryza sativa subsp. japonica	Viridiplantae	563	False	-	3
Q9SA14	Arabidopsis thaliana	Viridiplantae	404	False	-	4
Q9Y3E7	Homo sapiens	Metazoa	222	False	-	0
Q585P3	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	524	False	-	1
Q9BUI4	Homo sapiens	Metazoa	534	False	-	2
Q7M750	Mus musculus	Metazoa	143	True	-	3
Q9C5Z3	Arabidopsis thaliana	Viridiplantae	441	False	-	4
O95163	Homo sapiens	Metazoa	1332	False	-	0
Q06149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	701	False	-	1
Q18593	Caenorhabditis elegans	Metazoa	329	True	-	2
Q6ZN28	Homo sapiens	Metazoa	852	False	-	3
P40473	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	351	False	-	4
Q12986	Homo sapiens	Metazoa	1120	False	-	0
Q1MTN9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	544	False	-	1
F4JYC8	Arabidopsis thaliana	Viridiplantae	1706	False	-	2
Q80T22	Rattus norvegicus	Metazoa	484	True	-	3
P53187	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	214	False	-	4
P70278	Mus musculus	Metazoa	393	False	-	0
A1Z8D0	Drosophila melanogaster	Metazoa	459	False	-	1
K4CWS6	Solanum lycopersicum	Viridiplantae	470	False	-	2
P25332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	333	False	-	3
P46062	Mus musculus	Metazoa	1037	False	-	4
Q08509	Mus musculus	Metazoa	821	False	-	0
Q9JJK1	Rattus norvegicus	Metazoa	265	True	-	1
Q9NEZ5	Caenorhabditis elegans	Metazoa	350	False	-	2
Q6DN90	Homo sapiens	Metazoa	963	False	-	3
Q9VZL5	Drosophila melanogaster	Metazoa	485	False	-	4
Q04437	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	629	False	-	0
P33201	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	236	False	-	1
Q9BWK5	Homo sapiens	Metazoa	157	False	-	2
P28648	Rattus norvegicus	Metazoa	238	True	-	3
Q9FVQ1	Arabidopsis thaliana	Viridiplantae	557	False	-	4
